Initials-Bdr,Location,year,mo,day,time,Band Status,Band Number,Tarsus / Condition,Band Size,Species,Sex,Age,Removed band num,GorColor,GorCount (%),Head GCnt (%),Grooves,Buffy,PriWidth / P10 Shape,Wng-TailTrait,TailCent,TailMid,TailOut,TailMeas (#),WingCd,Culmen,Pollen? Color,Fat,CPBreed,Gorget/head molt,Body Molt,Primary Molt,Secondary Molt,Tail Molt,Weight,Feather collected,Photo(s) taken,Sample Collected,Day Recap #,recap time 1,recap time 2,recap time 3,recap time 4,Comment
smw,hc,2021,4,16,7:17,R,M69143,1,,BBLH,M,1,,B,99,,,,,,,,,,,,gx,0,,L,L,L,F,F,3.27,,,,1,9:00,,,,
smw,hc,2021,6,12,6:47,R,M69146,1,,BBLH,F,1,,,,,,,,,,,,,51,22.3,yt,0,2,1,L,4,L,M,3.24,,,,,,,,,NECTAR IN CROP
smw,hc,2021,8,8,11:08,R,M69146,1,,BBLH,F,1,,,,,,,,,,,,,50.5,22.7,n,T,2,1,L,8,L,M,3.4,,,,,,,,,
smw,hc,2021,4,16,8:09,R,M69157,1,,BBLH,M,1,,B,99,,,,,,,,,,,,n,0,,F,F,L,F,L,3.22,,,,,,,,,
smw,hc,2021,6,26,9:47,R,M69157,1,,BBLH,M,1,,B,99,,,,,,,,,,50,21.4,n,0,,1,L,5,L,M,3.14,,,,,,,,,
smw,swrs1,2021,4,19,6:33,1,M69162,D,E,BTLH,F,1,,HS,,,,,,R,W,,RRB,5,,20.4,n,P,2,1,F,9,F,F,3.41,,,,,,,,,NO WING CHORD DUE TO MOLTING
smw,swrs1,2021,4,19,6:56,1,M69163,D,E,BTLH,F,1,,HS,,,,,,R,B,,BRB,5,49,20,n,P,2,1,1,9,F,F,3.32,,,,,,,,,
ml,swrs1,2021,5,3,7:54,1,M69164,E,E,BTLH,M,1,,R,50,,,,P,,,,,,,18,yth,P,,3,1,9,2,F,3.28,,,,,,,,,
smw,hc,2021,5,29,5:43,1,M69176,E,E,COHU,F,1,,MS,,,,,E,E,,,N,,43,18,yt,0,2,1,M,3,L,M,3.16,,,,2,6:26,9:27,,,
smw,hc,2021,5,29,6:09,1,M69177,D,E,BBLH,M,1,,B,99,,,,,,,,,,51.5,22.5,n,0,,1,L,L,F,L,3.3,,,,1,8:32,,,,NECTAR IN CROP
smw,hc,2021,5,29,6:30,1,M69178,E,E,BBLH,M,1,,B,99,,,,,,,,,,51,22.3,n,0,,1,1,2,L,L,3.25,,,,,,,,,
smw,hc,2021,5,29,6:34,1,M69179,D,E,BBLH,M,1,,B,99,,,,,,,,,,49.5,20.3,n,0,,F,F,F,F,L,2.81,,,,1,8:30,,,,
smw,hc,2021,5,29,6:50,1,M69180,D,E,BBLH,M,1,,B,99,,,,,,,,,,50.5,22,n,0,,2,1,L,L,L,3.29,,,,,,,,,NECTAR IN CROP
gs,hc,2021,7,10,9:17,R,M69180,1,,BBLH,M,1,,B,99,,,,,,,,,,50,20.6,n,0,,1,F,4,L,L,3.12,,,,,,,,,
smw,hc,2021,5,29,7:24,1,M69181,D,E,BBLH,M,1,,B,99,,,,,,,,,,51,21.3,n,0,,1,L,L,L,L,2.88,,,,,,,,,
smw,hc,2021,5,29,9:28,1,M69182,D,E,BBLH,M,1,,B,85,,,,,,,,,,51,20.8,n,0,,2,2,2,F,L,3.17,,,,,,,,,"NECTAR IN CROP, OPENING MOUTH LIKE HOT"
gs,hc,2021,7,10,7:04,R,M69182,1,,BBLH,M,1,,B,99,,,,,,,,,,49,19.3,n,0,,L,F,F,F,L,3.26,,,,,,,,,NECTAR IN CROP
smw,hc,2021,6,12,6:27,1,M69189,E,E,BBLH,M,1,,B,99,,,,,,,,,,52,22.2,n,0,,2,1,L,F,M,2.99,,,,1,8:18,,,,
smw,hc,2021,6,12,7:19,1,M69190,E,E,BBLH,M,1,,B,99,,,,,,,,,,49.5,20.3,n,0,,1,1,2,L,L,2.94,,,,1,9:46, ,,,
smw,hc,2021,6,12,9:35,1,M69191,D,E,BBLH,M,1,,B,99,,,,,,,,,,50,21.6,n,0,,1,L,L,F,L,3.16,,,,,,,,,NECTAR IN CROP
smw,hc,2021,5,1,6:52,R,M69212,1,,BCHU,M,1,,V,99,,,,,,,,,,42,20,gx,0,,F,,,F,F,2.79,,,,,,,,,
smw,hc,2021,6,12,7:57,R,M69212,1,,BCHU,M,1,,V,99,,,,,,,,,,42,19.8,wn,0,,F,F,L,F,F,2.88,,,,,,,,,
smw,hc,2021,5,1,6:27,1,M69242,D,D,BCHU,M,1,,V,99,,,,,,,,,,41.5,20.1,n,,,F,F,F,F,F,2.77,,,,2,7:08,9:08,,,
smw,hc,2021,5,29,9:36,R,M69242,1,,BCHU,M,1,,V,99,,,,,,,,,,41,20.2,n,0,,F,F,F,F,F,2.8,,,,,,,,,
smw,hc,2021,5,1,6:32,1,M69243,D,D,BCHU,M,1,,V,99,,,,,,,,,,44,19,n,,,F,F,F,F,F,2.86,,,,1,7:59,,,,
smw,hc,2021,5,1,6:58,1,M69244,D,D,BCHU,M,1,,V,99,,,,,,,,,,42,20,n,0,,F,F,F,F,F,2.69,,,,1,7:16,,,,
ml,swrs1,2021,5,3,6:02,1,M69245,D,D,BCHU,M,1,,V,99,,,,,,,,,,,,n,0,,F,F,F,F,F,2.87,,,,,,,,,
ml,swrs1,2021,5,3,7:00,1,M69246,D,D,BCHU,M,1,,V,99,,,,,,,,,,43,21.5,n,0,,F,F,F,F,F,2.96,,,,,,,,,
ml,swrs1,2021,5,3,7:26,1,M69247,D,D,BCHU,M,1,,V,99,,,,,,,,,,42,18.9,yn,P,,F,F,F,F,F,2.93,,,,,,,,,
ml,swrs1,2021,5,3,7:35,1,M69248,D,D,BCHU,M,1,,V,99,,,,,,,,,,42,19.1,"yu,wn",0,,F,F,F,F,F,2.79,,,,,,,,,
ml,swrs1,2021,5,3,8:39,1,M69249,D,D,CAHU,F,1,,R,6,,,,,SP,NYYYN,4X4,N,,42.5,16.4,ynl,P,5,F,F,F,F,F,2.64,,,,,,,,,
smw,swrs1,2021,6,28,7:14,1,M69271,L,O,BTMG,M,2,,B,35,,3,Y,,,,B,8X7,,77.5,24,n,P,,1,1,F,F,F,7.17,,,,,,,,,
smw,swrs1,2021,6,28,5:57,R,M69308,1,,BCHU,F,1,,MS,,,,,,U,E,,,P,47.5,21.1,n,P,5,L,F,L,F,L,3.33,,,,,,,,,BUMP ON BEAK 7MM FROM BASE
smw,hc,2021,5,15,6:07,1,M69314,G,G,BCHU,F,1,,NS,,,,,U,E,,,P,,,21.1,yn,0,2,2,2,9,F,5,3.39,,Y,,,,,,,"R4, R5 IN PIN FEATHERS"
smw,hc,2021,5,15,6:14,1,M69315,G,G,BCHU,F,1,,LS,,,,,U,E,,,P,,,21.5,n,0,5,3,3,9,F,5,3.45,,Y,,,,,,,"R3, 4, 5 IN PIN FEATHERS"
smw,hc,2021,5,15,7:29,1,M69316,F,G,BCHU,F,1,,MS,,,,,U,E,,,P,,,22,"ynl, wu",0,2,2,2,9,F,5,3.17,,Y,,,,,,,"R4, R5 IN PIN FEATHERS, NECTAR IN CROP"
smw,swrs1,2021,5,17,6:24,1,M69317,F,G,BCHU,F,1,,NS,,,,,U,E,,,P,,47,21.4,wn,P,5,F,F,F,F,L,3.48,,,,1,6:56,,,,
smw,hc,2021,5,29,5:39,1,M69321,F,G,BCHU,F,1,,LS,,,,,U,E,,,P,,46,20.1,yt,0,2,F,F,F,F,F,3.37,,,,,,,,,
gs,hc,2021,7,10,6:35,R,M69321,1,,BCHU,F,1,,LS,,,,,U,E,,,P,,45,19.3,n,1,9,1,1,F,F,L,3.86,,,,1,8:43,,,,
smw,hc,2021,5,29,6:36,1,M69322,G,G,BCHU,F,1,,LS,,,,,U,E,,,P,,46,20.9,n,0,5,F,F,F,F,M,3.47,Y,,,,,,,,NECTAR IN CROP
smw,hc,2021,5,29,7:10,1,M69323,G,G,BCHU,F,1,,NS,,,,,U,E,,,P,,46,22.1,n,0,5,F,1,F,F,L,3.33,,,,,,,,,
smw,hc,2021,5,29,8:03,1,M69324,G,G,BCHU,F,1,,NS,,,,,U,E,,,P,,46,20.3,n,1,5,2,2,F,F,L,4.08,,,,,,,,,
gs,swrs1,2021,5,31,5:40,1,M69325,G,G,BCHU,F,1,,LS,,,,,U,E,,,P,,47,20.6,wn,0,2,F,F,F,F,L,3.27,,,,1,8:34,,,,
gs,swrs1,2021,5,31,6:18,1,M69326,G,G,BCHU,F,1,,NS,,,,,U,E,,,P,,46,22.5,yn,P,5,F,F,F,F,L,3.65,,,,,,,,,NC
gs,swrs1,2021,5,31,6:26,1,M69327,F,G,BCHU,F,1,,LS,,,,,U,E,,,P,,46.5,19.6,yul,T,5,L,F,F,F,L,3.23,,,,,,,,,NC
ml,swrs1,2021,5,31,9:20,1,M69328,G,G,BBLH,F,1,,NS,,,,,,,,,,,52,21.8,yu,0,5,F,F,L,F,L,2.9,,,,,,,,,
smw,hc,2021,6,12,5:31,1,M69337,G,G,ANHU,F,1,,R,7,,,,E,E,,,N,,48.5,18.2,yt,P,2,1,F,8,1,3,3.85,,,,,,,,,NECTAR IN CROP
smw,hc,2021,8,8,9:27,R,M69337,1,,ANHU,F,1,,R,35,,,,E,E,,,N,,50.5,19,n,T,2,F,F,F,F,F,3.78,,,,,,,,,
smw,hc,2021,10,2,9:27,R,M69337,1,,ANHU,F,1,,R,30,,0,S,E,E,,,N,,50,18.6,n,0,2,F,F,F,F,F,3.67,,,,1,11:33,,,,
smw,hc,2021,6,12,7:44,1,M69338,G,G,ANHU,F,1,,R,6,,,,E,E,,,N,,49.5,19.7,n,T,2,2,2,7,1,1,4.11,,,,,,,,,
smw,hc,2021,6,12,8:31,1,M69339,F,G,ANHU,F,2,,R,8,,2,Y,E,R,,,N,,50,20.4,n,0,2,1,F,3,F,L,3.69,,,,,,,,,
smw,hc,2021,6,12,9:00,1,M69340,G,G,BCHU,F,1,,LS,,,,,U,E,,,P,,45.5,21.4,n,T,5,F,F,F,F,L,3.38,,,,,,,,,
smw,hc,2021,4,16,7:25,R,M69355,1,,BBLH,F,1,,,,,,,,,,,,,50,21.5,n,P,7,L,L,F,F,M,3.88,,,,4,8:48,9:23,9:53,10:30,
smw,hc,2021,5,1,6:11,R,M69355,1,,BBLH,F,1,,,,,,,,,,,,,50,22.1,gx,0,5,L,L,L,,M,3.18,,,,,,,,,
smw,hc,2021,5,29,9:07,R,M69355,1,,BBLH,F,1,,,,,,,,,,,,,49,22.3,yt,0,5,L,L,L,L,M,3.18,,,,,,,,,LOTS OF NECTAR IN CROP
smw,hc,2021,6,12,8:48,R,M69355,1,,BBLH,F,1,,,,,,,,,,,,,50,22.2,n,0,2,1,M,2,L,R,3.16,,,,,,,,,
gs,hc,2021,7,10,7:52,R,M69355,1,,BBLH,F,1,,,,,,,,,,,,,50,21.1,n,0,9,F,F,5,F,R,3.56,,,,1,10:39,,,,
smw,hc,2021,4,16,8:41,R,M69357,1,,BBLH,F,1,,,,,,,,,,,,,50,24.3,n,0,2,L,L,L,F,L,3.54,,,,,,,,,
smw,hc,2021,10,2,6:48,R,M69400,1,,ANHU,F,1,,R,20,,0,N,E,E,,,R,,50,19.7,n,0,2,F,F,F,F,F,3.71,,,,2,,9:07,,,NECTOR  IN CROP
smw,hc,2021,6,12,8:35,R,M69401,1,,BBLH,F,1,,,,,,,,,,,,,48.5,23.3,yt,0,2,1,L,1,F,M,3.33,,,,,,,,,NECTAR IN CROP
smw,hc,2021,9,21,9:11,R,M69401,1,,BBLH,F,1,,NS,,,,,,,,,,,49,23.3,n,0,2,1,1,7,1,2,3.26,,,,,,,,,
smw,hc,2021,4,16,8:35,R,M69413,1,,BBLH,F,1,,,,,,,,,,,,,50,22.1,n,0,5,L,L,L,L,L,3.01,,,,1,9:52,,,,NC
smw,hc,2021,5,1,6:23,R,M69413,1,,BBLH,F,1,,,,,,,,,,,,,50,21.3,n,0,5,L,L,M,L,L,2.91,,,,,,,,,"MISSING R R3,R4"
smw,hc,2021,6,12,9:37,R,M69413,1,,BBLH,F,1,,,,,,,,,,,,,49.5,21.8,n,0,2,1,L,2,L,M,2.9,,,,,,,,,NECTAR IN CROP
smw,hc,2021,3,20,10:04,R,M69421,1,,BBLH,M,1,,B,99,,,,,,,,,,51,21.3,n,T,,L,F,F,F,L,3.28,,,,2,10:59,12:18,,,
smw,hc,2021,5,15,6:04,R,M69421,1,,BBLH,M,1,,B,99,,,,,,,,,,50,20.8,yl,0,,1,L,L,F,L,3.24,,,,,,,,,
gs,hc,2021,7,10,6:48,R,M69421,1,,BBLH,M,1,,B,99,,,,,,,,,,50,20,n,0,,1,1,5,F,L,3.15,,,,,,,,,
smw,hc,2021,8,8,7:13,R,M69421,1,,BBLH,M,1,,B,99,,,,,,,,,,50,20.8,n,0,,3,3,7,1,2,3.79,,,,,,,,,NC
smw,hc,2021,4,3,8:18,R,M69429,1,,BBLH,M,1,,B,99,,,,,,,,,,51,21.6,n,P,,F,F,F,F,F,3.29,,,,,,,,,
smw,hc,2021,6,12,6:31,R,M69432,1,,BBLH,F,1,,,,,,,,,,,,,51,22.5,yt,0,2,L,L,L,L,M,3.38,,,,,,,,,NECTAR IN CROP
smw,hc,2021,5,29,5:55,R,M69433,1,,BCHU,F,1,,MS,,,,,U,E,,,P,,47.5,20.8,n,P,5,F,F,F,F,L,3.45,,,,,,,,,
gs,hc,2021,7,10,11:09,R,M69433,1,,BCHU,F,1,,LS,,,,,,,,,,,0,,n,0,8,,,,,,3.76,,,,,,,,,"MINIMUM DATA TAKEN, BIRDS GETTING STRESSED, TOO HOT"
smw,hc,2021,4,3,7:18,R,M69437,1,,BBLH,M,1,,B,99,,,,,,,,,,51.5,20.8,n,0,,L,F,F,F,R,3.16,,,,1,10:01,,,,
smw,hc,2021,5,29,8:34,R,M69437,1,,BBLH,M,1,,B,99,,,,,,,,,,52,21.8,n,0,,2,1,L,L,R,3.23,,,,,,,,,
smw,hc,2021,6,26,9:11,R,M69437,1,,BBLH,M,1,,B,99,,,,,,,,,,52.5,21.7,n,0,,1,L,L,L,R,3.17,,,,,,,,,
smw,hc,2021,6,26,7:19,R,M69440,1,,BBLH,F,1,,,,,,,,,,,,,49,24.4,n,P,2,1,1,6,L,1,3,,,,,,,,,
smw,hc,2021,5,29,6:07,R,M69445,1,,BBLH,F,1,,,,,,,,,,,,,50,22.2,n,0,8,1,L,1,F,L,3.41,,,,,,,,,
smw,hc,2021,5,1,6:19,R,P33757,1,,BCHU,M,1,,V,99,,,,,,,,,,41.5,19.5,n,0,,F,F,F,F,F,2.8,,,,,,,,,
gs,hc,2021,7,10,10:35,R,P33922,1,,BBLH,F,1,,,,,,,,,,,,,51,20.9,n,0,7,1,1,L,L,L,3.58,,,,,,,,,
smw,hc,2021,6,12,9:09,R,P34135,1,,BBLH,M,1,,B,99,,,,,,,,,,51.5,21,n,0,,L,L,L,F,L,3.12,,,,,,,,,
smw,hc,2021,6,26,6:32,R,P34763,1,,BBLH,M,1,,B,99,,,,,,,,,,49.5,21,n,0,,1,F,F,,L,3.16,,,,,,,,,7/23/2014 HY
smw,hc,2021,3,20,10:08,R,P36797,1,,BBLH,M,1,,B,98,,,,,,,,,,51,21.5,n,T,,L,L,L,F,F,3.25,,,,1,12:24,,,,
smw,hc,2021,4,16,11:22,R,P36797,1,,BBLH,M,1,,B,99,,,,,,,,,,50,21.1,n,0,,F,F,L,F,F,3.23,,,,,,,,,"BANDED 6/13/2013, AHY"
smw,hc,2021,5,1,7:06,R,P36797,1,,BBLH,M,1,,B,99,,,,,,,,,,51,21.2,n,0,,L,F,L,F,L,3.15,,,,,,,,,
gs,hc,2021,7,10,10:09,R,P38311,1,,BBLH,F,1,,,,,,,,,,,,,49,21.9,n,0,8,F,F,L,F,M,4.4,,,,,,,,,LOTS OF NECTAR IN CROP
smw,hc,2021,4,3,8:57,R,P38877,1,,BBLH,M,1,,B,99,,,,,,,,,,51.5,20,n,P,,F,F,F,F,L,3.04,,,,,,,,,
smw,hc,2021,6,26,9:19,R,P38877,1,,BBLH,M,1,,B,99,,,,,,,,,,51,21,yu,0,,1,L,L,L,M,2.87,,,,,,,,,8/9/2013 HY
gs,hc,2021,7,10,11:14,R,P38941,1,,BCHU,F,1,,NS,,,,,U,E,,,P,,0,,n,0,9,,,,,,4,,,,,,,,,"MINIMUM DATA TAKEN, BIRDS GETTING STRESSED, TOO HOT"
ml,swrs1,2021,5,31,9:30,R,P38979,1,,BTMG,F,1,,,,,,,,,B,,,,69.5,25,yhu,0,7,L,L,L,L,L,6.73,,,,,,,,,AHY 4/27/15
smw,hc,2021,4,16,10:27,R,P40139,1,,BBLH,M,1,,B,99,,,,,,,,,,52,22.3,n,0,,F,F,F,F,L,3.26,,,,1,10:46,,,,BANDED 7/11/2013 AHY
smw,hc,2021,5,29,8:24,R,P40196,1,,BCHU,M,1,,V,99,,,,,,,,,,41.5,19.4,n,0,,F,F,L,F,L,2.78,,,,,,,,,AHY 6/13/13
gs,hc,2021,4,3,9:56,R,P42004,1,,ANHU,M,1,,R,99,99,,,,,,,,,48,17.5,n,P,,F,F,F,F,F,4.48,,,,,,,,,NECTAR IN CROP
smw,hc,2021,10,2,8:25,R,P42004,1,,ANHU,M,1,,R,95,95,,,,,,,,,48,18.8,n,0,,2,1,F,F,F,4.48,,,,,,,,,
smw,hc,2021,4,3,8:34,R,U05811,1,,ANHU,M,1,,R,99,99,,,,,,,,,49.5,17.6,gx,0,,1,F,L,F,L,4.21,,,,,,,,,
smw,hc,2021,8,8,9:21,R,U05811,1,,ANHU,M,1,,R,99,99,,,,,,,,,50,18.8,n,0,,1,F,F,F,F,4.04,,,,,,,,,
smw,hc,2021,4,3,9:45,R,U05901,1,,BBLH,M,1,,B,99,,,,,,,,,,51,22,n,P,,L,F,F,F,F,3.16,,,,,,,,,
smw,hc,2021,4,16,9:55,R,U05901,1,,BBLH,M,1,,B,99,,,,,,,,,,51,22.2,gx,0,,L,L,F,F,F,3.2,,,,,,,,,
smw,hc,2021,6,12,6:02,R,U05901,1,,BBLH,M,1,,B,99,,,,,,,,,,50.5,22.5,n,0,,L,M,M,L,M,3.12,,,,,,,,,
smw,hc,2021,4,16,8:01,R,U05905,1,,BBLH,F,1,,,,,,,,,,,,,50,21.9,puh,0,5,L,1,L,L,L,3.17,,,,,,,,,
smw,hc,2021,6,26,8:39,R,U05905,1,,BBLH,F,1,,,,,,,,,,,,,49,22.2,n,0,2,1,1,3,L,M,3.11,,,,,,,,,NC
smw,hc,2021,5,29,9:14,R,U05913,1,,BBLH,M,1,,B,99,,,,,,,,,,51.5,22.2,n,0,,2,2,L,L,L,3.55,,,,,,,,,
smw,hc,2021,4,3,9:34,R,U05917,1,,BBLH,M,1,,B,99,,,,,,,,,,51.5,21.4,n,T,,L,L,L,F,L,3.38,,,,1,10:34,,,,
smw,hc,2021,6,12,9:17,R,U05917,1,,BBLH,M,1,,B,99,,,,,,,,,,51.5,21.7,yt,T,,1,M,3,L,L,3.65,,,,,,,,,NECTAR IN CROP
gs,hc,2021,7,10,8:16,R,U05917,1,,BBLH,M,1,,B,99,,,,,,,,,,51,21.1,n,0,,L,F,5,F,L,3.37,,,,,,,,,
smw,hc,2021,5,29,8:19,R,U05927,1,,BBLH,M,1,,B,99,,,,,,,,,,49.5,21.5,yt,0,,1,L,M,L,R,3.22,,,,1,8:51,,,,
gs,hc,2021,3,20,11:48,1,U05935,F,G,ANHU,F,1,,R,50,,,,E,E,,,N,,51,18.2,n,1,2,F,F,F,F,L,4.34,,,,,,,,,
smw,hc,2021,4,3,9:08,1,U05936,F,G,BBLH,F,1,,,,,,,,,,,,,51,21.4,n,T,2,L,L,L,F,L,3.32,,,,,,,,,NECTAR IN CROP
smw,hc,2021,4,16,7:31,1,U05937,F,G,BCHU,F,1,,LS,,,,,U,E,,,P,,46,20.4,n,0,7,F,F,F,F,F,3.76,,,,,,,,,
smw,hc,2021,4,16,8:03,1,U05938,F,G,BBLH,F,1,,,,,,,,,,,,,52,21,n,0,7,L,F,F,F,L,3.6,,,,3,8:31,8:51,9:45,,
smw,hc,2021,4,16,8:20,1,U05939,F,G,BBLH,F,1,,,,,,,,,,,,,50,22.5,yt,0,5,L,L,F,F,F,3.31,,,,,,,,,NC
smw,hc,2021,4,16,9:16,1,U05940,F,G,ANHU,F,1,,R,7,,,,E,E,,,N,,49,19.2,yt,,2,L,L,M,L,M,4.06,,,,,,,,,
smw,hc,2021,4,16,9:19,1,U05941,F,G,BCHU,F,1,,MS,,,,,U,E,,,P,,45,19.8,ph,0,7,L,F,F,F,L,3.97,,,,,,,,,
smw,hc,2021,4,16,9:51,1,U05942,G,G,BCHU,F,1,,LS,,,,,U,E,,,P,,46,20.1,n,0,5,F,F,F,F,F,3.46,,,,,,,,,
smw,hc,2021,4,16,10:04,1,U05943,G,G,BBLH,F,1,,,,,,,,,,,,,50,22.1,yt,0,5,L,L,L,F,L,3.11,,,,1,10:37,,,,
gs,hc,2021,7,10,11:05,R,U05943,1,,BBLH,F,1,,,,,,,,,,,,,49,22.1,n,0,2,1,1,L,F,L,3.17,,,,,,,,,
smw,swrs1,2021,4,19,7:00,1,U05954,G,G,BCHU,F,1,,LS,,,,,U,E,,,P,,47,21.4,n,0,7,L,F,F,F,L,3.64,,,,,,,,,
ml,swrs1,2021,4,19,9:36,1,U05955,F,G,BCHU,F,1,,LS,,,,,U,E,,,P,,46,20.7,n,0,,F,F,F,F,F,3.57,,,,,,,,,
smw,hc,2021,5,1,6:15,1,U05956,G,G,BCHU,F,1,,NS,,,,,U,E,,,P,,47,19.5,wn,0,5,1,F,F,F,F,3.16,,,,,,,,,2 WHITE FEATHERS ON BACK OF HEAD
smw,hc,2021,5,1,6:48,1,U05957,G,G,BCHU,F,1,,LS,,,,,U,E,,,P,,45,20.8,"gx,yh",0,5,F,F,F,F,F,3.23,,,,,,,,,
smw,hc,2021,5,1,8:31,1,U05958,F,G,BCHU,F,1,,LS,,,,,U,E,,,P,,46,21,yt,P,5,F,F,F,F,L,3.35,,,,,,,,,NECTAR IN CROP
smw,hc,2021,6,12,7:08,R,U05958,1,,BCHU,F,1,,LS,,,,,U,E,,,P,,46,20.8,yt,0,2,1,F,F,F,L,3.04,,,,,,,,,
ml,swrs1,2021,5,3,6:50,1,U05959,F,G,BCHU,F,1,,NS,,,,,U,E,,,P,,,20.4,wu,,,,,,,,,,,,,,,,,ESCAPED
ml,swrs1,2021,5,3,6:56,1,U05960,F,G,BCHU,F,1,,NS,,,,,U,E,,,P,,48,22.3,n,0,9,F,F,F,F,F,3.78,,,,,,,,,
smw,hc,2021,4,16,7:18,R,U05963,1,,BBLH,M,1,,B,99,,,,,,,,,,,,ph,0,,1,F,F,F,,3.29,,,,1,9:19,,,,NO TAIL
smw,hc,2021,4,3,7:44,R,U05965,1,,BBLH,M,1,,B,99,,,,,,,,,,50,20.2,ph,P,,1,F,L,F,L,3.09,,,,1,10:10,,,,
gs,hc,2021,4,3,6:45,R,U05966,1,,BBLH,M,1,,B,99,,,,,,,,,,50,20,n,0,,F,F,F,F,F,3.03,,,,,,,,,
smw,hc,2021,4,16,7:13,R,U05966,1,,BBLH,M,1,,B,99,,,,,,,,,,,,n,P,,F,F,F,F,L,3.05,,,,,,,,,NC
smw,hc,2021,4,16,7:11,R,U05975,1,,BBLH,M,1,,B,99,,,,,,,,,,,,ph,P,,F,L,M,L,M,3.28,,,,2,8:52,10:02,,,
smw,hc,2021,5,15,7:58,1,U06000,C,D,COHU,M,2,,P,25,3,2,Y,E,R,,5X1,Y,3.8,43.5,17.7,n,0,,1,F,F,F,L,2.83,,Y,,,,,,,YELLOW GAPE
smw,hc,2021,5,29,8:29,R,U06024,1,,BBLH,M,1,,B,99,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,ESCAPED BEFORE MEASURMENTS TAKEN
smw,hc,2021,4,16,7:05,R,U06025,1,,BBLH,F,1,,,,,,,,,,,,,,,,,9,,F,F,F,L,3.88,,,,1,9:26,,,,LAID EGG BETWEEN CAPTURES
smw,hc,2021,8,8,10:19,R,U06025,1,,BBLH,F,1,,,,,,,,,,,,,51,23.7,n,0,5,1,M,7,L,M,3.23,,,,,,,,,
smw,hc,2021,5,29,10:02,R,U06029,1,,BBLH,F,1,,,,,,,,,,,,,50,22.7,wt,P,2,1,L,1,L,L,3.36,Y,,,,,,,,"NECTAR IN CROP, SPIDER WEBBING VARIOUS PLACES"
smw,hc,2021,6,12,5:57,R,U06029,1,,BBLH,F,1,,,,,,,,,,,,,51,22.4,wn,0,2,L,L,1,L,M,3.11,,,,,,,,,
smw,hc,2021,4,16,8:23,R,U06047,1,,ANHU,M,1,,R,99,99,,,,,,,,,,,n,P,,F,L,L,L,L,4.46,,,,,,,,,NC
smw,hc,2021,5,1,9:02,R,U06047,1,,ANHU,M,1,,R,99,90,,,,,,,,,47.5,19,n,0,,F,F,F,F,F,4.19,,,,,,,,,
smw,hc,2021,9,21,10:35,R,U06047,1,,ANHU,M,1,,R,99,99,,,,,,,,,48.5,19.9,n,0,,F,F,F,F,F,4.45,,,,,,,,,
smw,hc,2021,3,20,9:40,R,U06051,1,,ANHU,M,1,,R,99,99,,,,,,,,,50,17.7,n,1,,F,F,F,F,F,4.35,,,,,,,,,
smw,hc,2021,6,12,8:26,R,U06057,1,,BBLH,F,1,,,,,,,,,,,,,48,22.6,ou,0,2,1,1,6,L,L,3.17,,,,,,,,,
smw,hc,2021,3,20,7:36,R,U06061,1,,ANHU,M,1,,R,99,99,,,,,,,,,48,17.9,wh,P,,F,F,F,F,F,4.34,,,,,,,,,
smw,hc,2021,3,20,9:35,R,U06084,1,,ANHU,M,1,,R,99,99,,,,,,,,,49.5,18.5,n,P,,F,F,F,F,F,4.29,,,,4,9:59,10:48,11:08,11:38,
smw,hc,2021,10,2,8:53,R,U06093,1,,ANHU,M,1,,R,99,99,,,,,,,,,48.5,18.9,n,P,,F,F,F,F,F,4.39,,,,,,,,,
smw,hc,2021,5,1,7:15,R,U06099,1,,ANHU,F,1,,HS,,,,,E,E,,,R,,50,19.2,yht,0,7,L,F,3,L,M,4.19,,,,,,,,,
smw,hc,2021,4,3,7:02,1,U06101,D,D,BCHU,M,1,,V,99,,,,,,,,,,42.5,19.4,yht,0,,L,F,L,F,F,3.04,,,,,,,,,NECTAR IN CROP
smw,hc,2021,4,3,9:27,1,U06102,D,D,BCHU,M,1,,V,99,,,,,,,,,,41,18.8,n,T,,F,F,L,F,L,2.88,,,,,,,,,
smw,hc,2021,5,29,5:51,R,U06102,1,,BCHU,M,1,,V,99,,,,,,,,,,42,18.8,wnl,0,,F,F,F,F,F,2.78,,,,,,,,,
smw,hc,2021,4,16,6:57,1,U06103,D,D,BCHU,M,1,,V,99,,,,,,,,,,42,19.4,n,0,,F,F,F,,F,2.91,,,,,,,,,
smw,hc,2021,4,16,7:03,1,U06104,D,D,BCHU,M,1,,V,99,,,,,,,,,,43,19.6,n,P,,F,F,F,F,F,2.85,,,,3,9:04,10:01,10:27,,NC
smw,hc,2021,5,1,7:09,R,U06104,1,,BCHU,M,1,,V,99,,,,,,,,,,42,19.3,yu,P,,,F,F,F,F,2.78,,,,,,,,,
smw,hc,2021,4,16,7:36,1,U06105,D,D,BCHU,M,1,,V,99,,,,,,,,,,41.5,18.8,ou,0,,F,F,F,F,F,2.84,,,,,,,,,
smw,hc,2021,4,16,7:42,1,U06106,D,D,BCHU,M,1,,V,99,,,,,,,,,,43,21,n,P,,F,F,F,F,F,2.94,,,,,,,,,
smw,hc,2021,4,16,7:53,1,U06107,D,D,BCHU,M,1,,V,99,,,,,,,,,,42,20.7,yt,0,,F,F,F,F,F,2.82,,,,,,,,,
